category,service,translator_us_citizen,country,uom,src,translation_direction,target,vendor_rate,quantity,subtotal
Interpretation,Simultaneous Interpretation,NULL,AZERBAIJAN,8-Hr Day,ENGLISH,To,AZERBAIJANI,0,0,0
Interpretation,Simultaneous Interpretation,NULL,ARMENIA,Day,ENGLISH,To,RUSSIAN,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,VIETNAMESE,121,2,242
Interpretation,Simultaneous Interpretation,NULL,UKRAINE,Day,ENGLISH,To,UKRAINIAN,905,2,1810
Interpretation,Simultaneous Interpretation,NULL,MONGOLIA,Day,ENGLISH,To,MONGOLIAN,3525,3,10575
Interpretation,Simultaneous Interpretation,1,BRAZIL,NULL,ENGLISH,To,PORTUGUESE,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,0,ZAMBIA,Day,ENGLISH,To,FRENCH,1120,4,4480
Interpretation,Simultaneous Interpretation,NULL,KAZAKHSTAN,8-Hr Day,ENGLISH,To,RUSSIAN,1810,3,5430
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,PORTUGUESE,100,4,400
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Hour,ENGLISH,To,PORTUGUESE,100,6,600
Interpretation,Simultaneous Interpretation,0,ROMANIA,8-Hr Day,ENGLISH,To,ROMANIAN,1320,4,5280
Interpretation,Simultaneous Interpretation,NULL,GREECE,Day,ENGLISH,To,GREEK,2075,2,4150
Interpretation,Simultaneous Interpretation,1,COLOMBIA,NULL,ENGLISH,To,SPANISH,837,8,6696
Interpretation,Simultaneous Interpretation,NULL,CROATIA,Hour,CROATIAN,To,ENGLISH,272,2,544
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Day,ENGLISH,To,PORTUGUESE,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,COTE D'IVOIRE,8-Hr Day,ENGLISH,To,FRENCH,2275,2,4550
Interpretation,Simultaneous Interpretation,NULL,SOUTH AFRICA,Day,ENGLISH,To,PORTUGUESE,1470,5,7350
Interpretation,Simultaneous Interpretation,NULL,VIETNAM,Day,ENGLISH,To,VIETNAMESE,905,8,7240
Interpretation,Simultaneous Interpretation,0,DOMINICAN REPUBLIC,Day,SPANISH,To,ENGLISH,350,1,350
Interpretation,Simultaneous Interpretation,NULL,KYRGYZSTAN,8-Hr Day,RUSSIAN,To,ENGLISH,400,5,2000
Interpretation,Simultaneous Interpretation,NULL,ITALY,Each,ITALIAN,To,ENGLISH,2425,2,4850
Interpretation,Simultaneous Interpretation,NULL,COLOMBIA,Day,ENGLISH,To,SPANISH,837,14,11718
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Half Day,ENGLISH,To,PORTUGUESE,450,2,900
Interpretation,Simultaneous Interpretation,NULL,KAZAKHSTAN,8-Hr Day,ENGLISH,To,RUSSIAN,1810,4,7240
Interpretation,Simultaneous Interpretation,NULL,TURKEY,8-Hr Day,ENGLISH,To,TURKISH,1970,5,9850
Interpretation,Simultaneous Interpretation,0,CAPE VERDE,NULL,ENGLISH,To,PORTUGUESE,1510,5,7550
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Day,ENGLISH,To,PORTUGUESE,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,TAIWAN,Day,ENGLISH,To,CHINESE SIMPLIFIED,2650,1,2650
Interpretation,Simultaneous Interpretation,NULL,CAMEROON,Day,ENGLISH,To,FRENCH,2200,5,11000
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,PORTUGUESE,100,2,200
Interpretation,Simultaneous Interpretation,NULL,GREECE,Day,ENGLISH,To,ITALIAN,2425,2,4850
Interpretation,Simultaneous Interpretation,0,CROATIA,Day,ENGLISH,To,ALBANIAN,620,10,6200
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,JAPANESE,267,4,1068
Interpretation,Simultaneous Interpretation,1,BRAZIL,Day,ENGLISH,To,PORTUGUESE,799,8,6392
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,Day,ENGLISH,To,UKRAINIAN,560,4,2240
Interpretation,Interpretation,NULL,United States,Hour,ENGLISH,To / From,SPANISH,75,,NULL
Translation,Translation,NULL,United States,Word,ENGLISH,To / From,SPANISH,0.5,,NULL
Translation,Translation,NULL,United States,Word,ENGLISH,To / From,SPANISH,0.55,,NULL
Translation,Translation,NULL,United States,Word,ENGLISH,To / From,SPANISH,0.45,,NULL
Editing,Editing,NULL,United States,Word,ENGLISH,To / From,SPANISH,0.035,,NULL
Consecutive Interpretation,Consecutive Interpretation,NULL,United States,NULL,ENGLISH,To / From,SPANISH,165,,NULL
Consecutive/Simultaneous Interpretation,Consecutive/Simultaneous Interpretation,NULL,United States,Hour,ENGLISH,To / From,SPANISH,62.5,,NULL
