code,name,city,country_id,location
YNS,Nemiscau Airport,Lebel-sur-Quevillon,CA,POINT (-76.74167 49.74167)
YNT,Yantai Laishan International Airport,Laishan,CN,POINT (121.3711 37.407326)
YNY,Yangyang Airport,Sokcho,KR,POINT (128.6 38.066666)
YOL,Yola Airport,Jimeta,NG,POINT (12.431171311028873 9.25639295)
YON,Yongphulla Airport,Trashigang,BT,POINT (91.51530783849674 27.2559902)
YXZ,Wawa Airport,Hornepayne,CA,POINT (-84.78941127387685 47.9641218)
YQB,Quebec City Jean Lesage International Airport,L'Ancienne-Lorette,CA,POINT (-71.38577821056776 46.792174849999995)
YQK,Kenora Airport,Baudette,CA,POINT (-94.3622078 49.7896669)
YQL,Lethbridge Airport,Lethbridge,CA,POINT (-112.79092858608405 49.629112)
YQG,Windsor International Airport,Windsor,CA,POINT (-82.96389 42.274166)
YQM,Greater Moncton International Airport,Dieppe,CA,POINT (-64.67556069377879 46.11647835)
YQY,Sydney Airport,Glace Bay,CA,POINT (-60.05 46.166668)
YQQ,Comox Airport,Courtenay,CA,POINT (-124.9076713 49.7059024)
YQR,Regina International Airport,Regina,CA,POINT (-104.66560618608906 50.4309977)
YQU,Grande Prairie Airport,Grande Prairie,CA,POINT (-118.87829242532925 55.1800502)
YQX,Gander International Airport,Gambo,CA,POINT (-54.57370404301988 48.935634300000004)
YQZ,Quesnel Airport,Quesnel,CA,POINT (-122.5073650587199 53.0246193)
YSM,Fort Smith Airport,Fort Smith,CA,POINT (-111.96200473689623 60.0192725)
YSB,Sudbury Airport,Greater Sudbury,CA,POINT (-80.79592 46.62296)
YSJ,Saint John Airport,Saint John,CA,POINT (-65.88597941149104 45.31381415)
YTS,Timmins Victor M. Power Airport,Timmins,CA,POINT (-81.37862174994194 48.57027225)
YTY,Yangzhou Taizhou Airport,Dinggou,CN,POINT (119.71641345101672 32.5608476)
YUL,Montreal-Pierre Elliott Trudeau International Airport,Dorval,CA,POINT (-73.74257166095532 45.46873715)
YUM,Yuma International Airport,Yuma,US,POINT (-114.5985167 32.6685246)
YUY,Rouyn-Noranda Airport,Rouyn-Noranda,CA,POINT (-78.8323492 48.2083786)
YVO,Val-d'Or Airport,Val-d'Or,CA,POINT (-77.7846334 48.0537795)
YVR,Vancouver International Airport,Richmond,CA,POINT (-123.17986424460963 49.193044)
YTZ,Toronto City Centre Airport,Toronto,CA,POINT (-79.39585 43.632023)
YVV,Wiarton/Keppel Airport,Owen Sound,CA,POINT (-81.166664 44.666668)
YWG,Winnipeg James Armstrong Richardson International Airport,Winnipeg,CA,POINT (-97.2379281374448 49.91046085)
YXC,Canadian Rockies International Airport,Cranbrook,CA,POINT (-115.78391098859873 49.612860850000004)
YXE,Saskatoon International Airport,Saskatoon,CA,POINT (-106.69161089220799 52.172371999999996)
YXL,Sioux Lookout Airport,Dryden,CA,POINT (-91.9052963 50.1138992)
YXP,Pangnirtung Airport,Pangnirtung,CA,POINT (-65.71324179494323 66.14491480000001)
YXS,Prince George Airport,Prince George,CA,POINT (-122.675001 53.8847174)
YXU,London International Airport,Dorchester,CA,POINT (-81.14876380261438 43.03236375)
YXX,Abbotsford Airport,Sumas,CA,POINT (-122.36 49.025278)
YYB,Jack Garland Airport,North Bay,CA,POINT (-79.42725 46.356823)
YYC,Calgary International Airport,Calgary,CA,POINT (-114.01057234296194 51.120751)
YYR,Goose Bay Airport,Happy Valley-Goose Bay,CA,POINT (-60.4124 53.313534)
YYD,Smithers Airport,Smithers,CA,POINT (-127.18542810245555 54.82451285)
YYZ,Pearson International Airport,Etobicoke,CA,POINT (-79.61146 43.681583)
ZAH,Zahedan Airport,Zahedan,IR,POINT (60.90033 29.475756)
ZAL,Pichoy Airport,Valdivia,CL,POINT (-73.23944 -39.791668)
YYT,St. John's International Airport,Torbay,CA,POINT (-52.74791992027517 47.619738299999995)
ZBF,Bathurst Airport,Bathurst,CA,POINT (-65.73944 47.629166)
YYY,Mont Joli Airport,Mont-Joli,CA,POINT (-68.2080994 48.6086006)
ZBR,Chah-Bahar Airport,Konarak,IR,POINT (60.379562 25.436478)
YZF,Yellowknife Airport,Yellowknife,CA,POINT (-114.44111467626608 62.457386650000004)
YZR,Sarnia Airport,Sarnia,CA,POINT (-82.30882048716478 42.998174399999996)
YZV,Sept-Iles Airport,Sept-Iles,CA,POINT (-66.2656021 50.2233009)
ZAT,Zhaotong Airport,Zhaotong,CN,POINT (103.75572039170027 27.32755695)
ZAZ,Zaragoza Airport,Utebo,ES,POINT (-1.0437423279666378 41.6676807)
